Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
Avanan,https://www.crunchbase.com/organization/avanan,"Cloud Security, Internet, SaaS, Security","New York, New York, United States","Avanan operates a cloud-based platform to provide security solutions for public, SaaS-based applications.","4,099",2014-01-01,year,http://www.avanan.com,,5,51-100,2018-12-17,25000000,USD,25000000,41400000,USD,41400000,Series B,,Private,,,,,,
Lukka,https://www.crunchbase.com/organization/libra,"Accounting, Bitcoin, Blockchain, Computer, Cryptocurrency, FinTech, Information Services, Information Technology, SaaS, Software, Virtual Currency","New York, New York, United States",Lukka is a next-generation software company that delivers the leading middle and back office solution for the crypto asset ecosystem.,"4,278",2014-03-01,day,http://www.lukka.tech,info@lukka.tech,4,11-50,2018-08-07,15000000,USD,15000000,23300000,USD,23300000,Series B,,Private,,,,,,
Protenus,https://www.crunchbase.com/organization/protenus,"Analytics, Big Data, Cyber Security, Health Care, Information Technology","Baltimore, Maryland, United States","Protenus audits every access to patient data, providing healthcare leaders full insight into how health data is used.","4,357",2014-01-01,year,https://www.protenus.com,info@protenus.com,39,51-100,2018-01-22,11000000,USD,11000000,19400000,USD,19400000,Series B,,Private,,,,,,0
Sixgill,https://www.crunchbase.com/organization/sixgill,"Business Intelligence, Cyber Security, Security","Netanya, HaMerkaz, Israel",Sixgill is a security company specializing in cyber intelligence that detects cyber threats.,"4,445",2014-01-01,year,http://cybersixgill.com/,info@cybersixgill.com,23,11-50,2016-04-01,5000000,USD,5000000,6000000,USD,6000000,Series A,,Private,,,,,,
"Kentik Technologies, Inc.",https://www.crunchbase.com/organization/cloudhelix-inc,"Analytics, Big Data, Cloud Data Services, Information Technology, Internet, Network Security, SaaS","San Francisco, California, United States","Kentik Technologies, Inc. is the only SaaS-based network traffic intelligence company for fast technical and business insights.","4,610",2014-01-01,year,http://www.kentik.com,info@kentik.com,20,51-100,2016-08-04,23000000,USD,23000000,38200000,USD,38200000,Series B,,Private,,,,,,0
Abra,https://www.crunchbase.com/organization/abra,"Bitcoin, Financial Services, Peer to Peer, Transaction Processing","Mountain View, California, United States",Abra is a digital wallet which supports bitcoin and over 50 fiat currencies.,"4,742",2014-01-01,year,http://abra.com,contact@abra.com,40,,2017-10-23,18500000,USD,18500000,35500000,USD,35500000,Series B,,Private,,,,,,
Simility,https://www.crunchbase.com/organization/simility,"Fraud Detection, Machine Learning, Real Time","Palo Alto, California, United States","Simility helps companies prevent fraud and abuse in real time with machine learning, big data analytics and data visualization capabilities.","4,849",2014-05-01,day,http://simility.com,contact@simility.com,31,11-50,2017-12-12,17500000,USD,17500000,24700000,USD,24700000,Series B,,Private,,,,,,0
Tendermint,https://www.crunchbase.com/organization/tendermint-2,"Blockchain, Cryptocurrency, Information Technology, Internet","Berkeley, California, United States","Tendermint brings simplicity, security, and speed to the world’s blockchains.","4,855",2014-01-01,year,http://tendermint.com/,hello@tendermint.com,5,11-50,2019-03-14,9000000,USD,9000000,9000000,USD,9000000,Series A,,Private,,,,,,
SafeBreach,https://www.crunchbase.com/organization/safebreach,"Cyber Security, Intrusion Detection, Network Security, Security","Sunnyvale, California, United States",SafeBreach executes active breach scenarios and performs continuous validation to find holes in an environment before an attacker does.,"4,868",2014-01-01,year,http://www.safebreach.com/,contact@safebreach.com,62,11-50,2018-05-08,15000000,USD,15000000,34000000,USD,34000000,Series B,,Private,,,,,,
Bluzelle,https://www.crunchbase.com/organization/bluzelle-networks,"Bitcoin, Blockchain, Database, Information Services, Information Technology","Singapore, Central Region, Singapore","Bluzelle offers a complete and fully integrated stack of blockchain applications, middleware and data services.","5,229",2014-01-01,year,http://bluzelle.com/,sales@bluzelle.com,11,1-10,2018-03-28,1000000,USD,1000000,22300000,USD,22300000,Series C,,Private,,,,,,
Preempt Security,https://www.crunchbase.com/organization/preempt-security,"Cyber Security, Network Security, Security","San Francisco, California, United States","Preempt delivers identity and access threat prevention, continuously preempting threats using identity, behavior & risk.","5,414",2014-01-01,year,https://www.preempt.com/,info@preempt.com,2,51-100,2018-06-27,17500000,USD,17500000,27500000,USD,27500000,Series B,,Private,,,,,,1
Panaseer,https://www.crunchbase.com/organization/panaseer,"Big Data, Cyber Security, Enterprise Software, Information Technology","London, England, United Kingdom","Panaseer automatically consumes and analyses data from security, IT and business solutions, provide complete and accurate visibility.","5,637",2014-06-01,month,http://panaseer.com,info@panaseer.com,2,11-50,2018-06-18,10000000,USD,10000000,15500000,USD,15500000,Series A,,Private,,,,,,0
128 Technology,https://www.crunchbase.com/organization/128-technology,"Information Technology, Internet, Network Security, Software","Burlington, Massachusetts, United States",128 Technology makes the network do what your business needs.,"5,654",2014-07-07,day,https://www.128technology.com/,info@128technology.com,34,51-100,2018-05-15,9204948,USD,9204948,66704295,USD,66704295,Series C,,Private,,,,,,18
Hoop Messenger,https://www.crunchbase.com/organization/hoop-messenger,"Messaging, Security, Video Chat","Vancouver, British Columbia, Canada",Hoop Messenger is a the Next Generation of Messaging ,"5,862",2014-09-04,day,https://www.hoopmessenger.com,contact@hoopmessenger.com,,11-50,2018-05-31,5000000,CAD,3862736,7000000,CAD,5369665,Series A,,Private,,,,,,
enSilo,https://www.crunchbase.com/organization/ensilo,Cyber Security,"San Francisco, California, United States",enSilo protects businesses around the world from data breaches and disruption caused by cyber attacks.,"5,938",2014-08-01,month,https://www.ensilo.com/,contact@ensilo.com,53,51-100,2017-05-01,13000000,USD,13000000,34000000,USD,34000000,Series A,,Private,,,,,,
"MovoCash, Inc.",https://www.crunchbase.com/organization/movocash-inc,"Blockchain, Cryptocurrency, Finance, FinTech, Millennials, Mobile Apps, Mobile Payments, Payments","Palo Alto, California, United States","MOVO is a neo-bank on a mission to reach the 2.2b unbanked masses with P2P2P, a system connecting people, money & merchants worldwide.","5,987",2014-07-21,day,http://www.movo.cash,info@movo.cash,13,11-50,2018-06-01,6500000,USD,6500000,9000000,USD,9000000,Series A,,Private,,,,,,1
EclecticIQ,https://www.crunchbase.com/organization/eclecticiq,"Cyber Security, Fraud Detection, Risk Management, Security, Software","Amsterdam, Noord-Holland, The Netherlands",EclecticIQ is a global provider of Cyber Threat Intelligence technology solutions and Fusion Center operator.,"6,258",2014-04-01,day,https://www.eclecticiq.com/,info@eclecticiq.com,44,51-100,2017-11-09,14000000,EUR,16304968,20455000,EUR,23850413,Series B,,Private,,,,,,
Guardsquare,https://www.crunchbase.com/organization/guardsquare,"Developer Tools, Internet of Things, Mobile, Security","Leuven, Vlaams-Brabant, Belgium",Guardsquare develops premium software for the protection of mobile applications against reverse engineering and hacking.,"6,382",2014-01-01,year,https://www.guardsquare.com/,helloworld@guardsquare.com,3,11-50,2019-01-30,29000000,USD,29000000,29556877,USD,29556877,Series A,,Private,,,,,,
Blockfolio,https://www.crunchbase.com/organization/blockfolio,"Bitcoin, Cryptocurrency, Financial Services, Mobile Apps, Virtual Currency","Santa Monica, California, United States",Blockfolio offers mobile portfolio tracking and management for the cryptocurrency and blockchain industry.,"6,440",2014-06-01,month,http://www.blockfolio.com/,,7,11-50,2018-10-10,11500000,USD,11500000,14950000,USD,14950000,Series A,,Private,,,,,,
Infocyte,https://www.crunchbase.com/organization/infocyte-inc,"Cyber Security, Network Security","Austin, Texas, United States",Cyber security company specializing in Enterprise Breach Discovery,"6,469",2014-04-28,day,http://www.infocyte.com,info@Infocyte.com,10,1-10,2018-02-09,5200000,USD,5200000,9300000,USD,9300000,Series B,,Private,,,,,,
Virsec,https://www.crunchbase.com/organization/virsec-systems-3,"Cloud Security, Computer, Cyber Security, Network Security, Software","San Jose, California, United States",Virsec is a cybersecurity company delivering a radically new approach to protect enterprises from advanced attacks,"6,504",2014-01-01,year,http://virsec.com/,wleichter@virsec.com,1,51-100,2018-03-20,24000000,USD,24000000,31589724,USD,31589724,Series B,,Private,,,,,,
ObEN,https://www.crunchbase.com/organization/oben,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, Internet of Things, Speech Recognition, Virtual Reality","Pasadena, California, United States",ObEN is an AI company that is building a decentralized AI platform for intelligent avatars. ,"6,715",2014-02-26,day,https://oben.me/,contact@oben.com,11,11-50,2018-01-09,10000000,USD,10000000,23700000,USD,23700000,Series B,,Private,,,,,,4
Trillium Secure,https://www.crunchbase.com/organization/trillium-2,"Artificial Intelligence, Automotive, Blockchain, Cyber Security, Internet of Things, Security, Transportation","Sunnyvale, California, United States",Trillium Secure provides an Edge to Edge Automotive Cybersecurity Platform.,"6,993",2014-01-01,year,https://trilliumsecure.com,contact@trilliumsecure.com,22,51-100,2018-07-04,11000000,USD,11000000,15000000,USD,15000000,Series A,,Private,,,,,,0
Fortscale,https://www.crunchbase.com/organization/fortscale,"Analytics, Big Data, Machine Learning, Security, Software","San Francisco, California, United States","Fortscale Security Ltd., the innovator in machine learning-based User & Entity Behavior Analytics (UEBA) for security","7,093",2014-01-01,year,http://www.fortscale.com,info@fortscale.com,72,11-50,2017-02-28,7000000,USD,7000000,23000000,USD,23000000,Series B,,Private,,,,,,
Coins.ph,https://www.crunchbase.com/organization/coins-ph,"Bitcoin, FinTech, Mobile Payments","Pasig, Rizal, Philippines",Coins.ph delivers financial services over mobile to people in Southeast Asia who are currently unserved by traditional banks.,"7,105",2014-01-01,year,https://coins.ph,press@coins.ph,6,11-50,2017-05-24,5000000,USD,5000000,10000000,USD,10000000,Series A,,Private,,,,,,
Flyability,https://www.crunchbase.com/organization/flyability,"Consumer Electronics, Drones, Robotics, Security","Lausanne, Vaud, Switzerland",Flyability is a Swiss company building safe drones for inaccessible places. ,"7,201",2014-09-23,day,http://www.flyability.com,info@flyability.com,24,51-100,2018-11-12,11000000,USD,11000000,28706793,USD,28706793,Series B,,Private,,,,,,0
tCell,https://www.crunchbase.com/organization/tcell-io,"Computer, Cyber Security, Network Security","San Francisco, California, United States",tCell is a next-gen web app firewall for the cloud designed to overcome the limitations of traditional Web Application Firewalls.,"7,612",2014-01-01,year,https://www.tcell.io/,support@tcell.io,56,11-50,2016-10-12,9400000,USD,9400000,9400000,USD,9400000,Series A,,Private,,,,,,
Simplex,https://www.crunchbase.com/organization/simplex-3,"Bitcoin, Cryptocurrency, FinTech, Fraud Detection, Payments","Ramat Gan, Tel Aviv, Israel",Simplex is a Fintech & Crypto company providing fraudless payment processing solutions,"7,650",2014-04-28,day,http://www.simplex.com,support@simplex.com,17,51-100,2016-03-01,600000,USD,600000,9000000,USD,9000000,Grant,,Private,,,,,,
LinkDoc Technology,https://www.crunchbase.com/organization/linkdoc-technology,"Big Data, Financial Services, Security","Beijing, Beijing, China","LinkDoc Technology Limited is a leading oncology big data company, based in Beijing, China.","7,698",2014-01-01,year,http://www.linkdoc.com,linkdoc@linkdoc.com,,,2018-07-04,1000000000,CNY,150779530,1000000000,CNY,150779530,Series D,,Private,,,,,,
Dorae,https://www.crunchbase.com/organization/dorae,"Blockchain, Information Services, Supply Chain Management","Palo Alto, California, United States",Dorae is a proprietary distributed ledger system using Blockchain technology to immutably store key data about raw materials.,"8,088",2014-01-01,year,http://www.dorae.com,info@dorae.com,10,11-50,2019-01-08,50000000,USD,50000000,50000000,USD,50000000,Series B,,Private,,,,,,
Hexadite,https://www.crunchbase.com/organization/hexadite,"Computer, Cyber Security, Network Security, Security","Boston, Massachusetts, United States",Hexadite solves the cybersecurity capacity problem with the first agentless intelligent security automation and orchestration platform.,"8,160",2014-01-01,year,http://www.hexadite.com/,Contact@hexadite.com,17,11-50,2016-02-10,8000000,USD,8000000,10500000,USD,10500000,Series A,,Private,,,,,,
Bastille Networks Internet Security,https://www.crunchbase.com/organization/bastille-networks-2,"Cyber Security, Internet of Things, Security","San Francisco, California, United States",Bastille provides threat detection and security for the Internet of Things.,"8,162",2014-03-20,day,https://www.bastille.net,info@bastille.net,27,11-50,2017-09-21,27000000,USD,27000000,39000000,USD,39000000,Series B,,Private,,,,,,
Edge,https://www.crunchbase.com/organization/edgesecure,"Apps, Cloud Security, Mobile, Mobile Apps, Security","San Diego, California, United States",Edge provides the security platform that allows developers to build secure apps.,"8,174",2014-01-01,year,https://edgesecure.co,info@edgesecure.co,88,1-10,2015-07-10,450000,USD,450000,450000,USD,450000,Seed,,Private,,,,,,
Bitso,https://www.crunchbase.com/organization/bitso,"Bitcoin, Finance, Financial Services, Security","Mexico City, Distrito Federal, Mexico","Bitso is Mexico’s first Bitcoin exchange, offering a platform for trading of Bitcoin with Mexican Peso.","8,271",2014-01-04,day,https://bitso.com,info@bitso.com,9,1-10,2016-11-01,,,,4350000,USD,4350000,Grant,,Private,,,,,,
Team8,https://www.crunchbase.com/organization/team8,"Computer, Cyber Security, Network Security","Tel Aviv-yafo, Tel Aviv, Israel",Team8 is a cybersecurity think tank and venture creation foundry.,"8,429",2014-01-01,year,http://www.team8.vc,info@team8.vc,26,101-250,2016-02-23,23000000,USD,23000000,56000000,USD,56000000,Series B,,Private,,,,,,
SCADAfence,https://www.crunchbase.com/organization/scadafence,"Cyber Security, Homeland Security, Network Security, Security","Tel Aviv, Tel Aviv, Israel","SCADAfence is a pioneer in securing manufacturing industries such as chemical, pharmaceutical, food & beverage and automotive","8,621",2014-01-01,year,http://www.scadafence.com,info@scadafence.com,20,11-50,2017-11-21,10000000,USD,10000000,10000000,USD,10000000,Series A,,Private,,,,,,
Fireglass,https://www.crunchbase.com/organization/fireglass,"Cyber Security, Network Security, Online Portals","Tel Aviv, Tel Aviv, Israel",Fireglass allows users to click with confidence from any device by eliminating malware and phishing from web and email,"8,866",2014-01-01,year,http://fire.glass/,contact@fire.glass,2,11-50,2016-02-16,20000000,USD,20000000,20000000,USD,20000000,Series A,,Private,,,,,,
SecuredTouch,https://www.crunchbase.com/organization/securedtouch,"Biometrics, Cyber Security, FinTech, Fraud Detection, Mobile Payments, Risk Management, Software","Palo Alto, California, United States",Solving real-world authentication problems to support digital transformation into the “mobile era”,"9,049",2014-01-01,year,http://www.securedtouch.com/,contact@securedtouch.com,13,11-50,2018-04-23,8000000,USD,8000000,11500000,USD,11500000,Series A,,Private,,,,,,
Smyte,https://www.crunchbase.com/organization/smyte,"Apps, Fraud Detection, Mobile, Spam Filtering","San Francisco, California, United States",Smyte stops bad actors on marketplaces and social networks.,"9,260",2014-01-01,year,https://www.smyte.com/,founders@smyte.com,14,11-50,2017-03-28,4000000,USD,4000000,6250000,USD,6250000,Series A,,Private,,,,,,0
Minerva Labs,https://www.crunchbase.com/organization/minerva-labs,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",Minerva Labs is cybersecurity company that offers a unique low footprint endpoint prevention platform.,"9,317",2014-01-01,year,http://www.minerva-labs.com/,contact@minerva-labs.com,53,11-50,2017-06-07,7500000,USD,7500000,7500000,USD,7500000,Series A,,Private,,,,,,
NodeSource,https://www.crunchbase.com/organization/nodesource,"Application Performance Management, Cloud Infrastructure, Cloud Security, Cyber Security, Enterprise Software, Information Technology, Open Source, Software","San Francisco, California, United States",Building products focused on Node.js security and performance for the Enterprise.,"9,727",2014-01-01,year,https://nodesource.com/,u003eexample@yourdomain.com,73,11-50,2017-12-25,17500000,USD,17500000,33400000,USD,33400000,Series B,,Private,,,,,,
V5 Systems,https://www.crunchbase.com/organization/v5-systems,"Artificial Intelligence, Communication Hardware, GreenTech, Hardware, Internet of Things, Security, Software Engineering, Solar, Video","Fremont, California, United States",Developer of World’s first Self-Powered Outdoor Security and Computing Platform for the Industrial IoT,"9,737",2014-01-01,year,http://v5systems.us/,,10,11-50,2017-04-18,12000000,USD,12000000,19104355,USD,19104355,Series A,,Private,,,,,,2
Cymmetria,https://www.crunchbase.com/organization/cymmetria,"Cyber Security, Network Security, Security","Palo Alto, California, United States",Cymmetria is a cybersecurity startup working to tilt the asymmetry of cyber so that hackers are the ones left vulnerable.,"9,791",2014-01-01,year,http://www.cymmetria.com/,info@cymmetria.com,59,11-50,2015-11-10,9000000,USD,9000000,10600000,USD,10600000,Series A,,Private,,,,,,1
Jscrambler,https://www.crunchbase.com/organization/jscrambler,"Cyber Security, Security, Web Apps, Web Development","Porto, Lisboa, Portugal",Jscrambler is the leading client-side security solution for JavaScript protection and webpage real-time monitoring.,"10,401",2014-01-01,day,https://jscrambler.com/,hello@jscrambler.com,11,11-50,2018-03-05,2300000,USD,2300000,2300000,USD,2300000,Series A,,Private,,,,,,3
SlashNext,https://www.crunchbase.com/organization/slashnext,"Cyber Security, Security, Software","Pleasanton, California, United States",Close the phishing gap with superior protection from today’s - and tomorrow’s - most advanced HTML-based phishing threats,"10,635",2014-06-01,month,https://www.slashnext.com/,info@slashnext.com,5,11-50,2017-04-04,9000000,USD,9000000,9000000,USD,9000000,Series A,,Private,,,,,,
SafeGuard Cyber,https://www.crunchbase.com/organization/safeguard-cyber,"Cyber Security, Financial Services, Health Care, Information Technology, Risk Management, Security","Charlottesville, Virginia, United States",SafeGuard Cyber is a cloud-based technology that protects a company’s social assets from security threats and compliance risk factors.,"10,769",2014-01-01,year,https://www.safeguardcyber.com/,info@socialsafeguard.com,5,51-100,2018-06-27,11000000,USD,11000000,14857065,USD,14857065,Series B,,Private,,,,,,1
SecBI,https://www.crunchbase.com/organization/secbi,"Computer, Network Security","Be'er Sheva, HaDarom, Israel","SecBI is the ultimate power tool for security analysts, to reduce breach response time and optimize mitigation of advanced threats.","10,785",2014-01-01,year,http://www.secbi.com,jobs@secbi.com,7,11-50,2016-09-27,5000000,USD,5000000,5000000,USD,5000000,Series A,,Private,,,,,,
Luma,https://www.crunchbase.com/organization/luma-2,"Cyber Security, Hardware, Internet, Network Security","Atlanta, Georgia, United States",Luma is a surround WiFi system that brings home internet into the modern era.,"10,893",2014-01-01,year,http://getluma.com,general@getluma.com,6,11-50,2016-09-14,7000000,USD,7000000,22000000,USD,22000000,Series A,,Private,,,,,,
Zenedge,https://www.crunchbase.com/organization/zenedge,"Cloud Computing, Cyber Security, Enterprise Software, Network Security","Aventura, Florida, United States","Zenedge is a provider of cloud-based, artificial intelligence-driven cybersecurity solutions.","11,009",2014-07-07,day,https://www.zenedge.com,hello@zenedge.com,28,11-50,2016-09-08,6200000,USD,6200000,13700000,USD,13700000,Series C,,Private,,,,,,
Solebit,https://www.crunchbase.com/organization/solebit-labs,"Analytics, Artificial Intelligence, Computer, Cyber Security, Information Technology, Network Security, Real Time, Software","San Francisco, California, United States",Solebit takes a non-behavioral approach to detecting and preventing APTs and zero-day attacks.,"11,019",2014-01-01,year,http://www.solebit.io,info@solebit.io,3,11-50,2018-03-14,11000000,USD,11000000,13000000,USD,13000000,Series A,,Private,,,,,,
Kisi Security,https://www.crunchbase.com/organization/kisi,"Artificial Intelligence, Cloud Computing, Internet of Things, Mobile, Real Estate, SaaS, Security, Smart Building","Brooklyn, New York, United States",Kisi is a unified access control system for physical spaces,"11,037",2014-01-01,year,https://getkisi.com,support@getkisi.com,4,11-50,2016-09-12,50000,USD,50000,1550000,USD,1550000,Seed,,Private,,,,,,
Umbo Computer Vision,https://www.crunchbase.com/organization/umbo-computer-vision,"Artificial Intelligence, Computer Vision, Machine Learning, Security","San Francisco, California, United States",Umbo CV is an artificial intelligence company developing autonomous video security products for enterprises.,"11,256",2014-03-30,day,https://umbocv.ai,,1,11-50,2017-10-25,6800000,USD,6800000,9600000,USD,9600000,Series A,,Private,,,,,,
BigchainDB,https://www.crunchbase.com/organization/bigchaindb,"Big Data, Bitcoin, Blockchain, Database, Internet, Open Source","Berlin, Berlin, Germany",BigchainDB is a scalable blockchain database,"11,360",2014-07-30,day,https://www.bigchaindb.com,contact@bigchaindb.com,6,11-50,2016-09-27,3370000,USD,3370000,5370000,USD,5370000,Series A,,Private,,,,,,0
B-Secur,https://www.crunchbase.com/organization/b-secur,"Biometrics, Health Care, Security","Belfast, Belfast, United Kingdom",B-Secur represents the next generation of internal biometrics.,"11,407",2014-01-01,year,http://www.b-secur.com/,,7,11-50,2019-03-05,4000000,GBP,5262479,10000000,GBP,13677772,Series A,,Private,,,,,,0
Source Defense,https://www.crunchbase.com/organization/source-defense,Cyber Security,"Be'er Sheva, HaDarom, Israel",Source Defense provides websites with prevention technology for attacks of third-party origin.,"11,457",2014-09-01,day,http://sourcedefense.com/,info@sourcedefense.com,1,1-10,2018-09-26,10000000,USD,10000000,10000000,USD,10000000,Series A,,Private,,,,,,
Uplevel Security,https://www.crunchbase.com/organization/uplevel-security,"Cloud Security, Cyber Security, Data Visualization, Intelligent Systems","New York, New York, United States",Uplevel Security offers adaptive system of intelligence that uses graph theory and machine learning to modernize security operations.,"11,497",2014-01-01,year,http://www.uplevelsecurity.com/,info@uplevelsecurity.com,1,11-50,2016-10-25,5322824,USD,5322824,5322824,USD,5322824,Seed,,Private,,,,,,
Nightingale Security,https://www.crunchbase.com/organization/nightingale-security,"Network Security, Robotics, Security","San Francisco, California, United States",Nightingale Security is a autonomous drone solution in aerial robotic security.,"11,548",2014-06-25,day,http://www.nightingalesecurity.com/,jack@nightingalesecurity.com,2,11-50,2018-01-01,5600000,USD,5600000,8600000,USD,8600000,Series A,,Private,,,,,,
BlockCypher,https://www.crunchbase.com/organization/blockcypher,"Bitcoin, Cloud Infrastructure","Redwood City, California, United States",BlockCypher is a cloud-optimized platform powering blockchain applications reliably and at-scale.,"11,670",2014-01-01,year,http://www.blockcypher.com/,contact@blockcypher.com,43,11-50,2015-01-14,3100000,USD,3100000,3500000,USD,3500000,Seed,,Private,,,,,,
TruSTAR Technology,https://www.crunchbase.com/organization/trustar-technology,"Cyber Security, Security","San Francisco, California, United States",TruSTAR is the first security intelligence exchange platform built to incentivize information sharing.,"12,055",2014-03-01,day,https://www.trustar.co/,,2,11-50,2017-02-09,5000000,USD,5000000,7000000,USD,7000000,Series A,,Private,,,,,,1
Syncurity,https://www.crunchbase.com/organization/syncurity,"Cyber Security, Security, Software","Bethesda, Maryland, United States","Syncurity's Incident Response Platform (IRP) IR-Flow, streamlines and automates IR to remediate incidents faster, before the breach","12,284",2014-08-22,day,https://www.syncurity.net/,info@syncurity.net,7,11-50,2018-10-22,2000000,USD,2000000,2380000,USD,2380000,Seed,,Private,,,,,,
Bricata,https://www.crunchbase.com/organization/bricata,"Cloud Security, Computer, Cyber Security, Intrusion Detection, Network Security, Security","Columbia, Maryland, United States","Bricata’s mission is to develop innovative, extensible network security solutions that deliver superior long-term value to our customers.","12,472",2014-01-01,year,http://www.bricata.com/,info@bricata.com,40,11-50,2018-03-22,2500000,USD,2500000,13250000,USD,13250000,Debt Financing,,Private,,,,,,
Anonyome Labs,https://www.crunchbase.com/organization/anonyome-labs,"Privacy, Security","Salt Lake City, Utah, United States","Anonyome Labs, makers of Sudo, develops powerful products that empower people to take back control of their identity—in any situation.","13,451",2014-01-01,year,https://anonyome.com/,ghittelman@anonyome.com,4,51-100,2017-08-28,20400000,USD,20400000,20400000,USD,20400000,Series B,,Private,,,,,,
empow cyber security,https://www.crunchbase.com/organization/empow-cyber-security,"Cyber Security, Information Technology, Security","Boston, Massachusetts, United States",empow is a cyber security startup which is introducing a new approach to the security arena,"13,533",2014-01-01,year,http://www.empownetworks.com/,info@empownetworks.com,,11-50,2018-04-18,10000000,USD,10000000,19000000,USD,19000000,Series B,,Private,,,,,,
Teramind,https://www.crunchbase.com/organization/teramind-inc,"Cyber Security, Enterprise Software, Security","New York, New York, United States",Workforce Monitoring & Insider Threat Prevention,"13,605",2014-07-01,day,http://www.teramind.co,hello@teramind.co,5,51-100,2014-01-01,6000000,USD,6000000,6000000,USD,6000000,Series A,,Private,,,,,,
SafeDK,https://www.crunchbase.com/organization/safedk,"Mobile, Real Time, Security","Herzliya, Tel Aviv, Israel",SafeDK is an SDK management and marketplace for enterprises and mobile developers.,"13,611",2014-09-01,day,http://safedk.com,contact@safedk.com,5,1-10,2016-11-22,3500000,USD,3500000,5750000,USD,5750000,Series A,,Private,,,,,,
Tortuga logic,https://www.crunchbase.com/organization/tortuga-logic-inc,"Cyber Security, Information Technology, Security, Semiconductor","San Jose, California, United States",Tortuga Logic provides products to detect and prevent hardware security vulnerabilities,"13,717",2014-01-01,year,http://www.tortugalogic.com/,info@tortugalogic.com,6,11-50,2017-11-16,2000000,USD,2000000,2000000,USD,2000000,Seed,,Private,,,,,,
Singularity Networks,https://www.crunchbase.com/organization/singularity-networks,"Analytics, Big Data, Data Visualization, Enterprise Software, IT Infrastructure, Network Security","Lone Tree, Iowa, United States",Singularity Networks provides a highly flexible and real-time network analytics platform to Managed Security Providers. ,"14,161",2014-03-14,day,http://www.singularity-networks.com,info@singularity-networks.com,,1-10,2016-03-21,2655000,USD,2655000,3990000,USD,3990000,Seed,,Private,,,,,,
Blocko,https://www.crunchbase.com/organization/blocko,"Blockchain, Enterprise Software, Internet of Things, Software","Pangyo, Kyonggi-do, South Korea",Blocko is an enterprise blockchain solution provider.,"14,171",2014-12-01,day,https://www.blocko.io,support@blocko.io,2,101-250,2018-06-11,8900000,USD,8900000,14915000,USD,14915000,Series B,,Private,,,,,,
Identify3D,https://www.crunchbase.com/organization/identify3d,"Digital Media, Intellectual Property, Security","San Francisco, California, United States","Identify3d provides intellectual property protection, quality assurance, and data security in all phases of digital manufacturing.","14,876",2014-01-01,year,http://www.identify3d.com,info@identify3d.com,2,11-50,2018-08-31,,,,6709993,USD,6709993,Convertible Note,,Private,,,,,,0
Sequr,https://www.crunchbase.com/organization/sequr,"Mobile, SaaS, Security","Atlanta, Georgia, United States",Sequr has created the first ever cloud based access control management platform that enables mobile access and automation for companies .,"14,940",2014-01-01,year,http://www.sequr.io,support@sequr.io,,1-10,2018-09-24,600000,USD,600000,2675000,USD,2675000,Seed,,Private,,,,,,
Arbor,https://www.crunchbase.com/organization/arbor,"Analytics, CRM, Identity Management, Mobile","New York, New York, United States",Arbor operates the first marketplace for people-based data.,"15,264",2014-10-02,day,http://arbor.io,,8,11-50,2016-09-13,6500000,USD,6500000,9050000,USD,9050000,Series A,,Private,,,,,,
Crowdz,https://www.crunchbase.com/organization/crowdz,"B2B, Blockchain, FinTech, Marketplace, Predictive Analytics, Supply Chain Management","Sunnyvale, California, United States",The Invoice Exchange for Accelerating Cash Flow,"15,463",2014-03-05,day,https://www.crowdz.io,founders@crowdz.io,148,1-10,2019-05-22,5500000,USD,5500000,6263800,USD,6263800,Series A,,Private,,,,,,
Threatcare,https://www.crunchbase.com/organization/threatcare,"Cyber Security, Information Technology, Network Security, SaaS","Austin, Texas, United States","Threatcare provides easy, actionable Breach and Attack Simulations to help businesses test their cybersecurity defenses.","15,564",2014-01-01,year,https://www.threatcare.com/,support@threatcare.com,13,1-10,2018-01-04,1400000,USD,1400000,2100000,USD,2100000,Seed,,Private,,,,,,
"Proseeder Technologies, Inc.",https://www.crunchbase.com/organization/proseeder-technologies,"Enterprise Software, FinTech, Innovation Management, SaaS, Security, Venture Capital","San Francisco, California, United States","Proseeder is the innovation operating system for Fortune 500s, powering holistic enterprise innovation and collaboration.","15,739",2014-12-08,day,http://www.proseeder.com,bizdev@proseeder.com,,1-10,2016-06-30,6000000,USD,6000000,6375000,USD,6375000,Angel,,Private,,,,,,
Netki,https://www.crunchbase.com/organization/netki-inc,"Computer, FinTech, Privacy, Security","Canoga Park, California, United States",The leading provider of tools to foster the adoption of blockchain technology.,"16,729",2014-07-14,day,https://www.netki.com,info@netki.com,,1-10,2018-05-03,,,,3500000,USD,3500000,Convertible Note,,Private,,,,,,
